,headline,sentiment,label
3384,যানজট কমাতে ডিএসসিসির নাইট শিফট চালু,1,1
3385,ব্রাদার তেরেসা হিসেবে শান্তিতে নোবেল পাচ্ছেন যৌন নিপীড়ক শাওনের ব্লাড ব্রাদার আয়মান ভাই - Bengal Beats,0,0
3386,আমতলীতে ধুমপানকে কেন্দ্র করে একছাত্রকে কুপিয়েছে বখাটেরা,0,1
3387,‘মন্ত্রীর পা ধরেও সড়কের কাজ শুরু করা যায়নি’,0,1
3388,আজিজের সঙ্গে চ্যাটিংয়ের স্ক্রিনশট ফেসবুকে দিলেন পরীমনি,1,1
3389,স্কুলছাত্রীকে কুপিয়ে জখমের ঘটনায় মফিজুল গ্রেফতার,0,1
3390,‘পুলিশ গাড়ির ভিতর থেকেই গুলি চালিয়েছে’,1,1
3391,কিশোরগঞ্জে তরুণীকে ধর্ষণের ঘটনায় মামলা,0,0
3392,মেডিক্যাল ভর্তি পরীক্ষা: প্রশ্নপত্র ফাঁস ঠেকাতে তৎপর পুলিশের সাইবার ইউনিট,0,0
3393,পর্ণ দেখার শীর্ষে চট্টগ্রামের ছেলেরা,1,0
3394,ময়মনসিংহে ২৬ পয়েন্টে তৎপর পুলিশ,1,1
3395,ডিজিটাল নিরাপত্তা আইন নিয়ে যা বললেন জয়,1,1
3396,ব্রেক্সিট নিয়ে দ্বিতীয় গণভোটের দাবি জোরালো হচ্ছে,1,1
3397,আগামীর নওগাঁ নির্মাণে পরামর্শ ও ধারণা দিলেন স্থানীয়রা,0,1
3398,ফরিদপুরে পৃথক সড়ক দুর্ঘটনায় নিহত ৩,1,1
3399,অস্ত্রধারী সেই ছাত্রলীগ নেতা আটক,1,1
3400,ফাইনাল হারা বাংলাদেশের জন্য কোহলির ‘স্পেশাল’ মেসেজ,1,1
3401,"আরবি ‘কাত’ বা ‘খাট’-এর বাংলাদেশ আগমন, সাবধান!",1,0
3402,ইরানে সামরিক কুচকাওয়াজে হামলায় নিহত ২৫,0,0
3403,ধর্ষণের অভিযোগে ভারতীয় ধর্মযাজককে ভ্যাটিকানের অব্যাহতি,1,0
3404,সমাজের প্রতি দায়বদ্ধতা থেকে দায়িত্ব পালন করুন : প্রধানমন্ত্রী,0,1
3405,ফারমার্স ব্যাংকের সাবেক এমডিসহ ছয় কর্মকর্তা দুদকে,1,1
3406,রাজধানীতে মধ্যরাতে স্বস্তির বৃষ্টি,1,0
3407,আজ রাতে পৃথিবীতে ধেয়ে আসছে ক্ষতিকর মহাজাগতিক রশ্মি !,1,0
3408,ত্রিশালে আন্তর্জাতিক প্রবীণ দিবস পালিত,1,1
3409,কারিনার জন্মদিন: মাঝরাতে কাপুর সাম্রাজ্যে হৈ-হুল্লোড়,1,1
3410,সানিয়া ছেলে চাইছেন নাকি মেয়ে?,0,1
3411,সোহরাওয়ার্দী উদ্যানে বিএনপির জনসভা শুরু,1,1
3412,টেকনাফে ৭০হাজার পিস ইয়াবা ফেলে পালিয়েছে দুই কারবারি,0,1
3413,বিশ্বে প্রথমবারের মতো ফাইভজি হলোগ্রাফিক কল,1,1
3414,মেহেরপুরে ধর্ষণ চেষ্টার অভিযোগে মামলা,1,1
3415,ধাওয়ানকে ফেরালেন সাকিব,0,0
3416,"মাশরাফি কি এমপি প্রার্থী হচ্ছেন? নড়াইলের রাজনৈতিক অঙ্গনে জল্পনা ০৮ অক্টোবর, ২০১৮ ১৭:০৬",0,1
3417,স্ত্রী নির্যাতনের অভিযোগে জাতিসংঘের শরণার্থী কর্মকর্তা জেলহাজতে,1,0
3418,"হাংগেরীর প্রেসিডেন্টের ডক্টরেট বাতিলের নিন্দা জানালেন শেখ হাসিনা, ইউনূস, অলি ও মাহফুজুর | দৈনিক মতিকণ্ঠ",0,0
3419,হিনা রব্বানি খারের মায়ের সংগে প্রনয় সম্পর্ক স্থাপনের চিন্তা করছেন জারদারি | দৈনিক মতিকণ্ঠ,0,0
3420,শেখ হাসিনাকে আবারও ক্ষমতায় আনতে হবে : মেনন,0,1
3421,সংসদে ডিজিটাল নিরাপত্তা বিল পাস,0,0
3422,নাজিরপুরে সপ্তম ছাত্রীকে হয়রানির প্রতিবাদে শিক্ষার্থীদের ক্লাস বর্জন,0,0
3423,ট্রাইব্যুনালের কাছে মাদারফাকার সাকার প্রশ্ন | দৈনিক মতিকণ্ঠ,0,0
3424,নাইট শিফট চালুর চিন্তা করছে ডিএসসিসি,0,1
3425,নিজামীর সাটিফিকেটে বানান পরীক্ষা নিয়ে বৃহত্তর জামায়াতে আলচনা | দৈনিক মতিকণ্ঠ,0,0
3426,আজ কি পারবে বাংলাদেশ?,1,0
3427,তাহিরপুরে স্কুল ছাত্রের লাশ উদ্ধার,0,1
3428,বাবার ঋণ পরিশোধ করতে নাইজেরিয়ার বিক্রি করা হয় মেয়েদের,0,0
3429,গ্রেফতারের কূটকৌশল অব্যাহত রেখেছে সরকার: মির্জা ফখরুল,0,1
3430,দায়িত্ব নিলেন মেয়র লিটন,1,1
3431,হাজিরা খাতায় ‘অনুপস্থিত’ লেখায় শিক্ষক লাঞ্ছিত,0,0
3432,বাংলাদেশে ডিজিটাল পেমেন্ট খাত নিয়ে আরও কাজ করতে আগ্রহী চুং ইল চো,0,1
3433,বেলা শেষে দাবি দিয়ে তো লাভ নেই : প্রধানমন্ত্রী,0,1
3434,অভিষেক টেস্টেই সেঞ্চুরি পৃথ্বীর,1,1
3435,হাটহাজারীতে অবৈধ স্থাপনা উচ্ছেদ,1,1
3436,বাঁচলো না শফিকুল,0,1
3437,"পথচারী দম্পতিকে ট্রাকচাপা, প্রাণ গেল স্বামীর",1,0
3438,"খালেদা খায় কুকাকলা, আমরারে দেয় রুটি কলা: বাবুনগরী | দৈনিক মতিকণ্ঠ",0,0
3439,"‘রোদ ও দেখি না, বৃষ্টি ও দেখি না’ ২৪ সেপ্টেম্বর, ২০১৮ ২২:২৩",1,1
3440,"খালেদা জিয়াকে চিকিৎসা দেওয়ার নির্দেশ, পরবর্তী শুনানি ২৪ সেপ্টেম্বর",0,0
3441,পলাশী দিবস নিয়া হইচই কেন: ফখা | দৈনিক মতিকণ্ঠ,0,0
3442,"দুর্দান্ত ব্যাটিংয়ে উপেক্ষার জবাব হাফিজের ০৮ অক্টোবর, ২০১৮ ১২:২৩",1,1
3443,আজ রাতেই দেখা যাবে 'ব্লাড মুন'!,1,0
3444,"ভিমরুলের কামড়ে শিশুর মৃত্যু  ২২ সেপ্টেম্বর, ২০১৮ ১২:৩০",1,1
3445,চট্টগ্রাম কলেজ ছাত্রলীগ নেতারা ফুলেল শুভেচ্ছায় সিক্ত,0,0
3446,পর্ন তারকা মিয়া খলিফার শিরচ্ছেদ !,1,0
3447,তুরস্কে ইউরো আয়োজনে ঝুঁকি: উয়েফা,1,0
3448,"বাজারে আসছে তসলিমার আত্মজীবনী ‘ম’, আতঙ্কে বসুন্ধরা ও কারওয়ানবাজার ",1,0
3449,ভূমিধসের শঙ্কা পাহাড় থেকে সরে যাওয়ার নির্দেশ,0,1
3450,"ফাইনাল ম্যাচ নিয়ে যা বললেন মাশরাফি ২৭ সেপ্টেম্বর, ২০১৮ ১৯:৪৯",0,1
3451,সৌদি আরবে ব্যাংকের প্রথম নারী প্রধান কর্মকর্তা,0,1
3452,মুক্তিযোদ্ধা কোটার দাবিতে চট্টগ্রামে বিক্ষোভ,1,1
3453,অমর্ত্য সেনকে তিরস্কার করলেন বাবুনগরী | দৈনিক মতিকণ্ঠ,0,0
3454,ভারতে ৪০ বছর পর সংস্কার হচ্ছে ফারাক্কা সেতু,1,1
3455,"গণমাধ্যম ‘অবিচার’ করছে, অভিযোগ কাদেরের",1,1
3456,স্টেডিয়ামে হাগু করার সময় হাতেনাতে ভারতীয় সমর্থক আটক!,0,0
3457,নড়াইলে রোপণ করা ৭ লাখ বৃক্ষ টিকিয়ে রাখতে পুনঃবনায়ন,0,1
3458,চিকিৎসকদের উদ্দেশে যা বললেন রাষ্ট্রপতি,1,1
3459,সাপাহারে জাল টাকাসহ যুবক গ্রেফতার,1,1
3460,চুয়াডাঙ্গার পীরপুরকুল্লা গ্রামে বোমা হামলায় একজন নিহত,0,1
3461,ধারাবাহিক নাটক ‘নিউইয়র্ক থেকে বলছি’,1,0
3462,মুন্সীগঞ্জের কমলাঘাটে ভয়াবহ অগ্নিকাণ্ড,1,1
3463,গাইবান্ধা-১ আসনে ব্যাপক নির্বাচনী তৎপরতা,0,1
3464,"পরিত্যক্ত ডোবা থেকে বৃদ্ধার লাশ উদ্ধার ২৯ সেপ্টেম্বর, ২০১৮ ২১:৩১",1,1
3465,অল্পতেই ফিরলেন ইমরুল,1,1
3466,নিজের রান্না খেয়ে নিজেই অজ্ঞান কেকা ফেরদৌসী,0,0
3467,"ভোটে পুলিশ কী করবে, তা স্পষ্ট: সংঘর্ষের পর সাকি",1,0
3468,খালি পেটে কলা খেলে কী হয়?,0,0
3469,নির্বাচন ঠেকাতে বিএনপি নাশকতার প্রস্তুতি নিচ্ছে,0,1
3470,ঢাকায় আন্তর্জাতিক সাংবাদিক সংহতি দিবস উদযাপন,1,1
3471,নোয়াখালীতে ইফতারের পর বিড়ির দোকানের দিকে দৌড় দিতে গিয়ে পদদলিত হয়ে আহত ৩০ জন - Bengal Beats,0,0
3472,আবারও বি‌টি‌ভি‌তে ‘আলতা’,1,1
3473,না খেয়ে মরে যাব কিন্তু বাড়ির ভাত খাব না: গোলাম আজম | দৈনিক মতিকণ্ঠ,0,0
3474,পর্যটন মেলায় অংশ নিয়েছে বাংলাদেশ,1,0
3475,ফরিদার মেডিকেলে পড়া নিয়ে অনিশ্চিয়তা,1,1
3476,কূটনীতিকদের সঙ্গে ঐক্য প্রক্রিয়ার নেতাদের নৈশভোজ,0,1
3477,"লাল পতাকার সিগন্যালের পরও চাপা দিল বাস, নিহত ২",1,0
3478,পদ্মার ভাঙন রোধে হাজার কোটি টাকার প্রকল্প,1,0
3479,"আটকে যাচ্ছে সংসদ নির্বাচন, তফসিল ঘোষণা স্থগিত চেয়ে আবেদন",1,0
3480,ডিজিটাল নিরাপত্তা আইন নিয়ে এত উদ্বেগ কেন?,0,1
3481,সেমিফাইনাল নিশ্চিতের পরও নির্ভার নয় বাংলাদেশ,1,1
3482,রামু বৌদ্ধ বিহারে হামলার ৭ বছর: বিচার প্রক্রিয়া নিয়ে সংশয়,0,1
3483,তিনজনেই ফয়সালা পাকিস্তান-আফগানিস্তান ম্যাচ,0,0
3484,টানা ৯ দিন বন্ধের পর অফিসের ঠিকানা ভুলে গেছেন বাড্ডার মাসুম - Bengal Beats,1,0
3485,চিকিৎসক সংকটে শেবাচিম হাসপাতাল,0,1
3486,এমন অপমান কেন হজম করল সৌদি আরব?,1,1
3487,"সংসদে বিল পাস, কওমির স্বীকৃতি আইনি বৈধতা পেল",0,0
3488,দুই বছরের মধ্যে শৃঙ্খলা আনা হবে',1,0
3489,যে ১০টি পদ্ধতিতে ফেসবুকেই সাকরাইন উদযাপন করবেন,0,0
3490,"‘বিজয় চোখের সামনে দেখতে পাচ্ছি’ ২৬ সেপ্টেম্বর, ২০১৮ ১৮:৫০",1,1
3491,"২৪ ঘণ্টায় জনসমুদ্র, ৭ দিনে ঢাকা অচল : মোশাররফ",1,1
3492,কালাইয়ে বেড়েছে কিডনি বিক্রি,0,0
3493,ইন্দোনেশিয়া ভূমিকম্প ও সুনামিতে মৃতের সংখ্যা বেড়ে ১৩০০,1,1
3494,বিকেলে বিএসএমএমইউতে চিকিৎসার জন্য আসছেন খালেদা জিয়া,0,1
3495,"চরফ্যাশনে বোমা বিস্ফোরনে পুলিশসহ আহত ৭, আটক ১",1,1
3496,বধির ক্রিকেটের ফাইনালে শুক্রবার মুখোমুখি বাংলাদেশ-পাকিস্তান,0,0
3497,সাংবাদিকদের স্বাধীনতায় হস্তক্ষেপের আইন নয়',0,1
3498,মালদ্বীপে প্রেসিডেন্ট নির্বাচনে ভোট গ্রহণ চলছে,1,1
3499,"‘সিনহার নয়, সরকারের অন্তর্জালা শুরু হয়েছে’",0,1
3500,হাথুরুসিংহে–জনসনদের দেখানো পথে মিরাজ,1,1
3501,ধোনি-কোহলি-জয়াবর্ধনেকে পেছনে ফেললেন মুশফিক,1,1
3502,"লিখনের ৫ উইকেট, প্রথম দিনেই গুটিয়ে গেল ঢাকা",1,1
3503,হংকংয়ের দ্রুতগামী রেল নিয়ে বিতর্ক কেন?,0,1
3504,"প্রেমের জন্য... ২১ সেপ্টেম্বর, ২০১৮ ১৫:২৫",1,1
3505,ধর্ষণের অভিযোগে কেরালার ধর্মযাজক গ্রেপ্তার,1,0
3506,‘শেখ হাসিনার নাম স্বর্ণাক্ষরে লেখা থাকবে’,1,1
3507,আমিরাতকেও উড়িয়ে দিলো বাংলাদেশের মেয়েরা,1,0
3508,জিপিএ নয়! ফেসবুকে বেশি ফলোয়ারের ভিত্তিতে ভর্তি পাবলিক বিশ্ববিদ্যালয়ে!,1,0
3509,গুরুত্বপূর্ণ ম্যাচে টস জিতে ব্যাটিংয়ে বাংলাদেশ,1,1
3510,‘এস-৩০০ ক্ষেপণাস্ত্র ভূপাতিত করার ক্ষমতা রাখে ইসরাইল’,0,1
3511,যুক্তরাষ্ট্রে রাজনৈতিক আশ্রয় চেয়েছেন এস কে সিনহা,0,1
3512,১০ অক্টোবর: আজকের খেলা,1,1
3513,উত্তর কোরিয়ার সঙ্গে পুনরায় আলোচনায় বসতে প্রস্তুত আমেরিকা,0,1
3514,অন্তর্জ্বালা থেকেই মনগড়া বই লিখেছেন সিনহা : কাদের,1,1
3515,চট্টগ্রামে আগুনে বসতঘর পুড়ে ছাই,0,1
3516,সড়ক নিরাপত্তায় শেরপুরে চালু হচ্ছে ‘হেলমেট ছাড়া তেল নয়’ কার্যক্রম,0,1
3517,বিভ্রাটের মুখে ইনস্টাগ্রাম,1,1
3518,সোনার খনি খুঁড়তে গিয়ে মিললো...,0,0
3519,খালেদা জিয়াকে বিএসএমএমইউতে নেওয়া হয়েছে,0,1
3520,জাতীয় ঐক্যের জন্য ছাড় দিতে প্রস্তুত জামায়াত,1,1
3521,"বদির হাতে এখন শুধু দুটি অপশন, সময় মাত্র পাঁচ দিন",0,0
3522,দুটি আন্তর্জাতিক পুরস্কার গ্রহণ করলেন প্রধানমন্ত্রী,0,1
3523,বদিবৃত্তান্ত: এক দশকে আবদুর রহমান বদির নানা ঘটনাবলি,0,0
3524,আই এম নর্ম পেলেন ফাহাদ,1,1
3525,এশিয়া কাপের সুপার ফোরের সূচি চূড়ান্ত,0,1
3526,সিনহার একাউন্টে টাকা স্থানান্তর ফারমার্স ব্যাংকের ৬ কর্মকর্তাকে দুদকে জিজ্ঞাসাবাদ,1,1
3527,‘জাতীয় ঐক্য’ কতটা জাতীয়?,0,0
3528,পাকিস্তান সিরিজ : কী করবে কেলেঙ্কারিতে জর্জরিত অস্ট্রেলিয়া,0,0
3529,খুব সহজে ঘরোয়া উপায়ে নিন ফুসফুসের যত্ন,1,0
3530,রাজশাহীতে ই-ট্রাফিক প্রসিকিউশন চালু,0,1
3531,মিরপুরে জোরদার করা হয়েছে তিন স্তর বিশিষ্ট নিশ্ছিদ্র জ্যাম উৎপাদন প্রকল্প,0,0
3532,"আসামি ছিনতাইয়ের ঘটনায় মামলা, এলাকা জুড়ে গ্রেফতার আতঙ্ক ১০ অক্টোবর, ২০১৮ ১১:১৮",0,1
3533,ব্যাট-বলের তুমুল লড়াই খুলনায়,0,1
3534,সাকিব তামিমকে ছাড়া ফাইনাল,0,1
3535,রাজ্যের কাছে রোহিঙ্গাদের বায়োমেট্রিক তথ্য চায় কেন্দ্র,0,1
3536,উঠতি বয়সী শিক্ষার্থীরা রাত ৮টার পরে বাইরে থাকলে আটক করা হবে!,0,0
3537,উত্তর কোরিয়ার সঙ্গে 'আলোচনায় প্রস্তুত' যুক্তরাষ্ট্র,0,0
3538,সিরাজগঞ্জে যুবলীগ নেতা খুন,0,1
3539,হালিমে মাংস পেয়ে খুশি হয়ে হালিম বিক্রেতাকে জড়িয়ে ধরে চুমু দিয়ে দিলেন এক ব্যক্তি - Bengal Beats,0,0
3540,‘আ কা মো. যাকারিয়া’র উপস্থিতি আমরা উপলব্ধি করছি’,1,1
3541,কুষ্টিয়ার পোড়াদহ স্কুলের শিক্ষার্থীদের পুনর্মিলনী অনুষ্ঠিত,0,1
3542,‘ডিজিটাল সিকিউরিটি আইন বুমেরাং হতে বাধ্য’,1,1
3543,উত্তরাঞ্চলের ছেলেরা জাঙ্গিয়া পরেনা,0,0
3544,অক্টোবর থেকে গুজব সনাক্তকারী সেল কাজ করবে : তথ্য প্রতিমন্ত্রী,0,1
3545,মাদারীপুরে সেপ‌টিক ট্যাংক প‌রিষ্কার কর‌তে গি‌য়ে ২ শ্র‌মিকের মৃত্যু,0,1
3546,আপত্তি উপেক্ষা করে ডিজিটাল নিরাপত্তা আইন পাস,0,0
3547,শ্রম ও মেধাকে কাজে লাগিয়ে উৎপাদনশীলতা বৃদ্ধি করতে হবে',0,1
3548,প্রথম নারী মেজর জেনারেল সুসানে গীতি,0,1
3549,মুখে প্রস্রাব লাগালে কি ব্রণ ভালো হয়?,1,0
3550,মমতাজের নতুন গান ‘ডালিম গাছ’,0,1
3551,লিবিয়ায় সংঘর্ষে নিহত ৯৬,0,0
3552,বিয়ে বাড়িতে কাচ্চির ভিতর আলু না পেয়ে সংঘর্ষ!,0,0
3553,বিড়াল ধর্ষণ করায় একজনকে হাতেনাতে ধরল পুলিশ,0,0
3554,বিশ্বব্যাপী রুশ সাইবার হামলা,1,1
3555,‘স্যারের জন্য প্রতি রাতে এখনো কাঁদি’,1,0
3556,তাহিরপুরে মা-বাবার সঙ্গে অভিমান করে স্কুলছাত্রের আত্মহত্যা,1,1
3557,"নেত্রকোনায় কোটা পুনর্বহালের দাবিতে বিক্ষোভ ০৮ অক্টোবর, ২০১৮ ১৭:৩৩",0,1
3558,দেশের মেয়েদের কাছে আরব আমিরাত দলের আত্মসমর্পণ,1,1
3559,নির্বাচনে সবার ‘বিজয়’ সম্ভব,1,1
3560,ট্রাকের ধাক্কায় দুই ছাত্রীসহ নিহত ৩ ,0,1
3561,রোহিঙ্গা ইস্যুতে অক্টোবরে আসছে মিয়ানমারের প্রতিনিধিদল,1,1
3562,শ্বশুরবাড়ি যাওয়ার পথে নববধূ ছিনতাই!,1,0
3563,অক্টোবর নিয়ে হঠাৎ উত্তাপ,0,1
3564,৩০ রানে অল-আউট মেয়েরা!,0,1
3565,রায়কে কেন্দ্র করে নিরাপত্তার ঝুঁকি নেই',0,1
3566,বেনাপোল পুটখালী সীমান্তে দুই নাইজেরিয়ান আটক,0,1
3567,হিন্দুদের খুশি করতে গিয়ে বিপাকে ট্রাম্পের দল,0,0
3568,খালেদা জিয়ার চিকিৎসার নির্দেশনা চেয়ে রিট শুনানি মঙ্গলবার,0,1
3569,৫ কোটি ফেইসবুক অ্যাকাউন্টের নিয়ন্ত্রণ বেহাত হওয়ার শঙ্কা,0,1
3570,অশালীন মন্তব্য করায় শিক্ষককে মারধর,0,1
3571,মিস ওয়ার্ল্ড বাংলাদেশ প্রতিযোগিতার সেই প্রশ্ন ভাইরাল,1,1
3572,আমি চালাই তুমি পিছনে বসো। | Bengali Things,0,0
3573,অধিনায়কত্ব হারালেন ম্যাথুস,0,1
3574,আজকের ম্যাচে আম্পায়ার থাকবে ৬ জন,1,0
3575,ChotoBhai' এর ভিডিও রিপোর্ট করে takeout 2.0 থেকে জন্মদিনের ফ্রি কেক পেয়ে গেল মেসি - Bengal Beats,1,0
3576,সাতক্ষীরা পৌর এলাকার শতাধিক পরিবার পানিবন্দি,0,0
3577,"রায়ের পর বগুড়ায় যাত্রীবাহী বাসে পেট্রোলবোমা হামলা, যুবদল নেতা গ্রেফতার",0,1
3578,আফগানদের বিপক্ষে পাকিস্তানের ঘাম ঝরানো জয়,0,0
3579,খাশোগি সম্পর্কে সৌদি যুবরাজের ব্যাখ্যা চাইল আমেরিকা,1,1
3580,রোমাঞ্চকর লড়াইয়ে আফগানদের হারাল পাকিস্তান,1,0
3581,বিসিবির ম্যাচ দিয়ে শুরু করলেন আশরাফুল,1,1
3582,ধর্ষণের সংবাদ প্রকাশ:মামলা করবেন রোনালদো,1,1
3583,উন্নয়নের জন্য নিজেকে উৎসর্গ করতে চাই,0,1
3584,যাত্রীদের বিড়ম্বনার জন্য আবুল সরকার দায়ী নয়: যোগাযোগমন্ত্রী | দৈনিক মতিকণ্ঠ,0,0
3585,১৪ ফেব্রুয়ারী ভালোবাসা দিবসকে ‘বোন দিবস’ ঘোষণা!,1,0
3586,২০ বছরে পদার্পণ করছে চ্যানেল আই,1,1
3587,ইপিবিএ পোল্যান্ড শাখার উদ্যোগে ঈদ পুনর্মিলনী,1,0
3588,অতীতের তিক্ততা ভুলে ঐশ্বরিয়াকে আলিঙ্গন রানির! (ভিডিও),1,1
3589,রাশিফলে জেনে নিন কেমন যাবে আজকের দিনটি,0,1
3590,রোহিঙ্গা সংকটে জাতিসংঘের নিকট প্রধানমন্ত্রীর ৩ দফা,1,1
3591,মুক্তিযুদ্ধের পক্ষের বামদের সঙ্গে ঐক্য চায় আ.লীগ,0,1
3592,সৈয়দপুরে মাইক্রোবাসের ধাক্কায় পথচারী নিহত,0,0
3593,৬৫ রানে পাঁচ উইকেট নেই বাংলাদেশের,1,0
3594,গোপালগঞ্জে গুলি ও অস্ত্রসহ গ্রেফতার ১,1,0
3595,সালাহ-ফিরমিনোয় হার নেইমার-এমবাপ্পেদের,1,1
3596,জাতীয় সংসদ নির্বাচনে ফেরদৌস!,1,1
3597,উড়ন্ত সূচনা বাংলাদেশের,1,1
3598,সমুদ্রের তলদেশ পর্যবেক্ষণ করবে রোবট,1,0
3599,বিশ্ব লোম প্রতিযোগিতায় এশিয়া থেকে প্রতিনিধিত্ব করছে যারা !,0,0
3600,১০ হাজার টাকায় ‘ডাক্তার’ বানাচ্ছেন তিনি!,0,1
3601,এমন জয় ভবিষ্যতে কঠিন পরিস্থিতিতে শক্তি যোগাবে',1,1
3602,রামপুরায় শিক্ষার্থীর মরদেহ উদ্ধার,0,0
3603,বাম গণতান্ত্রিক জোটের ইসি ঘেরাও কর্মসূচিতে বাধা পুলিশের,0,1
3604,রবি-দৃষ্টি স্কুল বিতর্কে কলেজিয়েট চ্যাম্পিয়ন,0,0
3605,সিনহার মনগড়া কথা মানবো কেন: কাদের,1,0
3606,নাশকতার মামলায় নাটোরে বিএনপি-শিবিরের ১৪ নেতাকর্মী কারাগারে,0,0
3607,"পাকিস্তান সীমান্তে ব্যাপক সংঘর্ষ, ৭ সেনা নিহত ২৫ সেপ্টেম্বর, ২০১৮ ১১:৪০",0,1
3608,"বাস্তবসম্মত হলে প্রধানমন্ত্রী অবশ্যই তা দেখবেন, কোটা আন্দোলন বিষয়ে কাদের",0,1
3609,রক্তাক্ত কারবালার সংক্ষিপ্ত ইতিহাস,1,1
3610,দালিলিক প্রমাণ পেলেই সিনহার বিরুদ্ধে ব্যবস্থা: দুদক চেয়ারম্যান,0,1
3611,শরীয়তপুরে ট্রাকের ধাক্কায় নিহত এক,0,1
3612,রেজিস্ট্রেশনে রশিদ ছাড়া টাকা আদায়ের অভিযোগ,1,1
3613,সিদ্ধিরগঞ্জে বিএনপির ১১৯ নেতাকর্মীর বিরুদ্ধে মামলা,0,1
3614,কাশ্মীরে নিরাপত্তা বাহিনীর সঙ্গে শিয়াদের সংঘর্ষ,0,0
3615,সাংবাদিকদের উদ্বিগ্ন হওয়ার কিছু নেই,0,0
3616,ড. কামালের উদ্দেশ্য বিএনপি-জামায়াতকে রক্ষা করা',1,1
3617,ময়মনসিংহে ট্রেনের বগি লাইনচ্যুত,0,1
3618,বাংলাদেশের বাজারে ৫৫ ইঞ্চির স্মার্ট-বোর্ড ফ্লিপ আনলো স্যামসাং,1,0
3619,ইয়াবা বহনে সাজা মৃত্যুদণ্ড,1,1
3620,সিনহার বই পরাজিত লোকের হা-হুতাশ',0,0
3621,নারীদেহের ঘ্রাণই কি পুরুষের আকর্ষণের কারণ?,0,0
3622,ঝিনাইদহে হত্যা মামলার আসামিকে কুপিয়ে হত্যা,0,1
3623,মুশফিকের ‘৯৯’,0,1
3624,ভোটের মাঠে বিএনপি ফাউল করলে জনগণই লাল কার্ড দেখাবে,1,1
3625,যে ১০টি অতিমানবীয় দক্ষতার কারণে ঢাকাবাসীর নোবেল পুরস্কার পাওয়া উচিত - Bengal Beats,0,0
3626,ভারতের বিপক্ষে বাংলাদেশের সম্ভব্য একাদশ,1,0
3627,একুশে আগস্ট: যাবজ্জীবন কারাদণ্ডাদেশ পেলেন যারা,1,1
3628,দুর্ধর্ষ সন্ত্রাসী তারা মিয়া যেভাবে পুলিশকে আক্রমণ করলো,1,0
3629,ডিজিটাল ক্রাইমকে মোকাবিলা করতেই ডিজিটাল নিরাপত্তা আইন :,0,0
3630,পদ্মায় ড্রেজিং শুরু না হওয়ায় ক্ষুদ্ধ নড়িয়াবাসী,0,0
3631,ব্যাংকে আমানত রাখছে না সাধারণ মানুষ,1,1
3632,"পিছিয়ে পড়েও অসাধারণ জয় ম্যান ইউয়ের ০৭ অক্টোবর, ২০১৮ ১৫:২৫",1,1
3633,বাঙালি এবং বিশাল (??) গরু ছাগলের হাট - Bengal Beats,1,0
3634,আজই বিএসএমএমইউতে নেওয়া হচ্ছে খালেদাকে,0,1
3635,সিরিজে জিতে রেটিং পয়েন্ট বাড়ানোর সুযোগ টাইগারদের,1,1
3636,ডিজিটাল নিরাপত্তা আইন বাতিলের দাবি,0,1
3637,‘শেখ হাসিনার নেতৃত্বে অপ্রতিরোধ্য গতিতে এগিয়ে যাচ্ছে বাংলাদেশ’,0,1
3638,"উত্তর কোরিয়ার আশ্বাসে ‘খুশি’ যুক্তরাষ্ট্র, সন্দিহান বিশ্লেষকরা",0,0
3639,ঐতিহ্যের সাক্ষী মুড়াপাড়া জমিদার বাড়ি,1,0
3640,হিরোইন কিনতে গিয়ে প্রাণ হারালেন বাস হেলপার,0,0
3641,‘যত ঝুঁকির কারণ হোক না কেন আমি কখনো হিজাব খুলবো না’,1,1
3642,রাত পোহালেই এমবিবিএস ভর্তি পরীক্ষা,0,1
3643,ব্যান্ড তারকা জেমসের জন্মদিন আজ,1,1
3644,জবির নতুন ক্যাম্পাস স্থাপনে ভূমি অধিগ্রহণ অনুমোদন,1,1
3645,মাগুরায় বিদ্যুস্পৃষ্টে কলেজ ছাত্রের মৃত্যু,1,1
3646,‘খালেদা জিয়ার চিকিৎসা আগের নিয়মেই’,0,1
3647,বিমান কিনলেন বরিশালের আবুল বাসেদ,0,0
3648,বাংলাদেশকে অনুকরণীয় মনে করেন জার্মানির প্রেসিডেন্ট | দৈনিক মতিকণ্ঠ,0,0
3649,ঝিনাইদহে বিশ্ব জলাতঙ্ক দিবস পালিত,1,1
3650,স্বঘোষিত নিষেধাজ্ঞার কারণে এবার নৌকায় ভোট দিতে পারবেন না বদি,0,0
3651,নানার বিরুদ্ধে যৌন হেনস্তার অভিযোগে যা বলছেন তারকারা,1,1
3652,নারী ধূমপায়ীর তালিকায় শীর্ষে বাংলাদেশ!,1,0
3653,হাত দেখাতে ইংল্যান্ড যাচ্ছেন তামিম,1,1
3654,বন্ধুদের সাথে ঘুরতে গিয়ে নির্ঘাত যে ১০টি পরিস্থিতির শিকার না হয়ে উপায় নাই।,0,0
3655,বিটিআরসির নিয়োগ পরীক্ষা ২০ অক্টোবর,1,1
3656,নবীগঞ্জে প্রেমিকের প্রতারণায় ধর্ষিত,0,1
3657,কিমের চিঠি পেয়ে প্রেমে পড়ে গেলেন ট্রাম্প!,1,1
